,vehicle_id,repeat,mean_precision,n_valid_folds,best_alpha,fold
0,181,0,0.7016203703703704,10,0.05,"[0.925925925925926, 0.6111111111111112, 0.5, 0.75, 1.0, 0.5, 0.29166666666666663, 0.6875, 1.0, 0.75]"
1,181,1,0.648611111111111,10,0.001,"[1.0, 0.6944444444444444, 0.5833333333333334, 0.375, 0.25, 0.7083333333333333, 0.875, 0.75, 0.625, 0.625]"
2,181,2,0.767361111111111,10,0.1,"[0.5555555555555556, 0.5555555555555556, 1.0, 0.4375, 0.5, 1.0, 0.875, 0.8125, 0.9375, 1.0]"
3,181,3,0.778125,10,0.001,"[1.0, 0.9166666666666666, 0.6666666666666666, 0.75, 0.75, 0.5, 0.5, 1.0, 0.7916666666666666, 0.90625]"
4,181,4,0.6820601851851852,10,0.05,"[0.5925925925925926, 0.3333333333333333, 0.925925925925926, 0.15625, 1.0, 0.5, 0.9375, 0.75, 1.0, 0.625]"
5,181,5,0.6918981481481482,10,0.001,"[0.48148148148148145, 0.5, 1.0, 0.4375, 1.0, 0.16666666666666666, 1.0, 1.0, 0.75, 0.5833333333333334]"
6,181,6,0.6788194444444444,10,0.001,"[0.7777777777777778, 0.5, 1.0, 1.0, 0.9166666666666666, 0.1875, 0.75, 0.375, 0.28125, 1.0]"
7,181,7,0.6518518518518518,10,0.05,"[1.0, 0.925925925925926, 0.5925925925925926, 0.75, 0.71875, 0.16666666666666666, 0.6666666666666666, 1.0, 0.28125, 0.4166666666666667]"
8,181,8,0.7483796296296296,10,0.001,"[0.35185185185185186, 0.6666666666666666, 0.9444444444444444, 0.14583333333333334, 0.625, 1.0, 0.8125, 1.0, 1.0, 0.9375]"
9,181,9,0.6358796296296296,10,0.001,"[1.0, 0.8888888888888888, 0.40740740740740744, 1.0, 0.6875, 0.7083333333333333, 0.5625, 0.16666666666666666, 0.3125, 0.625]"
10,185,0,0.3172619047619047,10,0.001,"[0.0, 0.16666666666666666, 0.4166666666666667, 0.3333333333333333, 0.5416666666666666, 0.29166666666666663, 0.25, 0.375, 0.619047619047619, 0.17857142857142858]"
11,185,1,0.2651785714285714,10,0.05,"[0.1875, 0.53125, 0.03125, 0.41666666666666663, 0.22916666666666666, 0.125, 0.16666666666666666, 0.25, 0.5, 0.21428571428571427]"
12,185,2,0.2699404761904762,10,0.001,"[0.4166666666666667, 0.3125, 0.017857142857142856, 0.5, 0.375, 0.1875, 0.41666666666666663, 0.1875, 0.047619047619047616, 0.23809523809523808]"
13,185,3,0.2644642857142857,10,0.001,"[0.03125, 0.375, 0.65625, 0.08333333333333333, 0.35, 0.375, 0.25, 0.25, 0.09523809523809523, 0.17857142857142858]"
14,185,4,0.2776785714285714,10,0.001,"[0.125, 0.08333333333333333, 0.375, 0.375, 0.4375, 0.3125, 0.375, 0.14583333333333331, 0.07142857142857142, 0.4761904761904762]"
15,185,5,0.2199702380952381,10,0.001,"[0.1875, 0.2916666666666667, 0.14583333333333331, 0.1, 0.25, 0.09375, 0.125, 0.2916666666666667, 0.7142857142857143, 0.0]"
16,185,6,0.2851785714285714,10,0.001,"[0.08333333333333333, 0.375, 0.25, 0.0, 0.2875, 0.16666666666666666, 0.225, 0.25, 0.21428571428571427, 1.0]"
17,185,7,0.263095238095238,10,0.001,"[0.375, 0.03125, 0.1875, 0.16666666666666666, 0.0, 0.34375, 0.75, 0.0625, 0.2857142857142857, 0.42857142857142855]"
18,185,8,0.2590773809523809,10,0.001,"[0.22499999999999998, 0.125, 0.22916666666666666, 0.3125, 0.5, 0.525, 0.03125, 0.5, 0.0, 0.14285714285714285]"
19,185,9,0.2330059523809523,10,0.001,"[0.03125, 0.375, 0.10416666666666666, 0.20833333333333331, 0.4, 0.15, 0.2875, 0.25, 0.23809523809523808, 0.2857142857142857]"
20,223,0,0.6785714285714286,10,0.001,"[0.9285714285714286, 0.8076923076923077, 0.3956043956043956, 0.9384615384615385, 0.8653846153846154, 0.9076923076923078, 0.46153846153846156, 0.38461538461538464, 0.6923076923076923, 0.40384615384615385]"
21,223,1,0.7004395604395605,10,0.001,"[0.8095238095238095, 0.8974358974358976, 0.858974358974359, 1.0, 0.9384615384615385, 0.38461538461538464, 0.24358974358974358, 0.33333333333333337, 0.8974358974358976, 0.641025641025641]"
22,223,2,0.6742765567765567,10,0.001,"[0.8273809523809524, 0.7692307692307693, 0.16923076923076924, 0.7948717948717948, 1.0, 0.8846153846153846, 0.5538461538461539, 0.46153846153846156, 0.9230769230769231, 0.358974358974359]"
23,223,3,0.7034432234432234,10,0.001,"[0.7857142857142857, 0.9230769230769231, 0.3076923076923077, 0.9423076923076923, 0.6307692307692307, 0.34615384615384615, 0.5512820512820512, 0.8615384615384615, 0.782051282051282, 0.9038461538461539]"
24,223,4,0.6631776556776557,10,0.001,"[0.8952380952380953, 0.36858974358974356, 0.6923076923076923, 0.4102564102564103, 0.9358974358974359, 0.9423076923076923, 0.4256410256410256, 0.6923076923076923, 0.37179487179487186, 0.8974358974358974]"
25,223,5,0.5472344322344324,10,0.001,"[0.4761904761904762, 0.17307692307692307, 0.7692307692307693, 0.6666666666666666, 0.4294871794871795, 0.3076923076923077, 0.8653846153846154, 0.8999999999999999, 0.25641025641025644, 0.6282051282051282]"
26,223,6,0.6595238095238095,10,0.001,"[0.8214285714285714, 0.6666666666666666, 0.8076923076923077, 0.7692307692307693, 0.32051282051282054, 0.8653846153846154, 0.7307692307692307, 0.5769230769230769, 0.1904761904761905, 0.8461538461538461]"
27,223,7,0.6584432234432234,10,0.001,"[0.3095238095238095, 0.5384615384615384, 0.07692307692307693, 0.3681318681318681, 0.9487179487179488, 0.8269230769230769, 0.8131868131868132, 0.9230769230769231, 1.0, 0.7794871794871795]"
28,223,8,0.7690293040293039,10,0.001,"[0.5857142857142856, 0.7538461538461539, 0.7692307692307693, 0.8653846153846154, 0.8846153846153846, 0.8205128205128205, 0.3589743589743589, 0.8717948717948717, 0.7802197802197802, 1.0]"
29,223,9,0.5543223443223443,10,0.001,"[0.4928571428571429, 0.5769230769230769, 0.2692307692307692, 0.40384615384615385, 0.057692307692307696, 0.7692307692307693, 0.8974358974358974, 0.6217948717948717, 0.5824175824175823, 0.8717948717948718]"
30,231,0,0.5,10,0.01,"[0.6, 0.1, 0.8, 0.6, 0.6, 0.1, 0.8, 0.5, 0.4, 0.5]"
31,231,1,0.4866666666666667,10,0.01,"[0.4, 0.6, 0.2, 0.8, 0.6666666666666666, 0.6, 0.36, 0.8, 0.4, 0.04]"
32,231,2,0.5033333333333333,10,0.001,"[0.5, 0.26666666666666666, 0.6, 0.7, 0.4, 0.8, 0.2, 0.4666666666666666, 0.6, 0.5]"
33,231,3,0.4983333333333333,10,0.001,"[1.0, 0.0, 0.4666666666666667, 0.8, 0.6, 0.6666666666666666, 0.4, 0.4, 0.25, 0.4]"
34,231,4,0.5516666666666666,10,0.001,"[0.8, 0.8, 0.26666666666666666, 0.4, 0.6, 0.45, 0.4, 0.6, 0.8, 0.4]"
35,231,5,0.4973333333333333,10,0.01,"[0.6666666666666667, 0.2, 0.0, 0.8, 0.6, 0.04, 0.8, 0.26666666666666666, 0.6, 1.0]"
36,231,6,0.5266666666666666,10,0.01,"[1.0, 0.4, 0.8, 0.2, 0.7, 0.3, 0.26666666666666666, 0.8, 0.6, 0.2]"
37,231,7,0.5533333333333333,10,0.01,"[0.3, 0.26666666666666666, 0.6, 0.4, 0.5, 0.8, 0.5, 0.5, 0.6666666666666666, 1.0]"
38,231,8,0.5366666666666667,10,0.01,"[1.0, 0.5, 0.4, 0.06666666666666667, 0.8, 0.7, 0.4, 0.8, 0.3, 0.4]"
39,231,9,0.6066666666666667,10,0.001,"[0.4, 0.4666666666666666, 0.4, 0.8, 0.6, 0.8, 0.6, 0.8, 0.8, 0.4]"
40,276,0,0.4051360544217687,10,0.001,"[0.23333333333333334, 0.5666666666666667, 0.6071428571428571, 0.6428571428571429, 0.2585034013605442, 0.41428571428571426, 0.4642857142857143, 0.20714285714285713, 0.42857142857142855, 0.2285714285714286]"
41,276,1,0.3976851851851852,10,0.001,"[0.11851851851851851, 0.5666666666666667, 0.21428571428571427, 0.6964285714285714, 0.5714285714285714, 0.5535714285714286, 0.7857142857142857, 0.30357142857142855, 0.07142857142857142, 0.09523809523809523]"
42,276,2,0.3672891156462584,10,0.001,"[0.5533333333333333, 0.3333333333333333, 0.17261904761904762, 0.3333333333333333, 0.6428571428571429, 0.3095238095238095, 0.2857142857142857, 0.4642857142857143, 0.29931972789115646, 0.2785714285714286]"
43,276,3,0.4608333333333333,10,0.001,"[0.4111111111111111, 0.6555555555555554, 0.2857142857142857, 0.5833333333333333, 0.4642857142857143, 0.1488095238095238, 0.17857142857142858, 0.6428571428571429, 0.5238095238095238, 0.7142857142857143]"
44,276,4,0.4266950113378684,10,0.05,"[0.4888888888888889, 0.5333333333333333, 0.7321428571428571, 0.2602040816326531, 0.2857142857142857, 0.4428571428571429, 0.25, 0.39285714285714285, 0.27380952380952384, 0.6071428571428571]"
45,276,5,0.4121031746031746,10,0.001,"[0.4388888888888889, 0.6166666666666667, 0.4047619047619047, 0.6071428571428571, 0.2857142857142857, 0.3095238095238095, 0.6904761904761906, 0.32142857142857145, 0.21428571428571427, 0.23214285714285715]"
46,276,6,0.4702857142857143,10,0.001,"[0.6, 0.36000000000000004, 0.5, 0.6785714285714286, 0.42857142857142855, 0.3, 0.4523809523809524, 0.511904761904762, 0.4642857142857143, 0.40714285714285714]"
47,276,7,0.4320238095238095,10,0.001,"[0.26666666666666666, 0.7833333333333333, 0.6666666666666667, 0.4404761904761904, 0.6785714285714286, 0.40476190476190477, 0.20833333333333331, 0.33571428571428574, 0.2857142857142857, 0.25]"
48,276,8,0.4362482993197279,10,0.001,"[0.43333333333333335, 0.14666666666666667, 0.45, 0.6428571428571429, 0.6122448979591837, 0.511904761904762, 0.42857142857142855, 0.2857142857142857, 0.5178571428571429, 0.3333333333333333]"
49,276,9,0.4698412698412698,10,0.001,"[0.4611111111111111, 0.4444444444444445, 0.6857142857142857, 0.34523809523809523, 0.6428571428571429, 0.4523809523809524, 0.5952380952380951, 0.36309523809523814, 0.3392857142857143, 0.369047619047619]"
50,283,0,0.5588888888888889,10,0.01,"[0.7222222222222222, 0.4, 1.0, 0.6666666666666667, 0.4, 0.4, 0.4, 0.26666666666666666, 1.0, 0.3333333333333333]"
51,283,1,0.5233333333333333,10,0.001,"[0.6666666666666666, 1.0, 0.06666666666666667, 0.6, 0.4666666666666666, 0.6666666666666667, 0.9, 0.1, 0.6, 0.16666666666666666]"
52,283,2,0.5877777777777778,10,0.001,"[0.4444444444444444, 0.6666666666666667, 0.3, 0.26666666666666666, 0.3, 1.0, 0.2, 1.0, 1.0, 0.7]"
53,283,3,0.5166666666666667,10,0.001,"[0.75, 0.05, 0.5333333333333333, 0.9, 1.0, 0.2, 0.4666666666666666, 0.8666666666666666, 0.4, 0.0]"
54,283,4,0.5883333333333334,10,0.001,"[0.08333333333333333, 1.0, 0.8, 0.8, 1.0, 0.9, 0.36666666666666664, 0.16666666666666666, 0.3, 0.4666666666666666]"
55,283,5,0.5182222222222223,10,0.001,"[0.2222222222222222, 0.16, 0.06666666666666667, 0.6, 0.8666666666666666, 0.7, 0.26666666666666666, 0.8, 0.5, 1.0]"
56,283,6,0.5122222222222222,10,0.001,"[0.7222222222222222, 0.26666666666666666, 0.3, 0.9, 0.26666666666666666, 0.6666666666666666, 0.06666666666666667, 0.8666666666666666, 0.6666666666666666, 0.4]"
57,283,7,0.4877777777777777,10,0.001,"[0.611111111111111, 0.2, 0.7, 0.6666666666666666, 0.6, 0.5, 0.4, 0.3, 0.1, 0.8]"
58,283,8,0.6388888888888888,10,0.001,"[0.3055555555555555, 0.8, 0.8666666666666666, 0.6666666666666666, 0.7, 0.65, 0.3, 0.7, 0.6, 0.8]"
59,283,9,0.615,10,0.01,"[0.4166666666666667, 0.6666666666666667, 0.3, 0.5, 0.4666666666666666, 0.8, 0.9, 0.4, 0.9, 0.8]"
60,292,0,0.71,10,0.001,"[1.0, 0.6, 0.2, 1.0, 0.7, 0.6, 0.7, 0.5, 0.8, 1.0]"
61,292,1,0.7433333333333334,10,0.001,"[0.8, 0.6, 1.0, 0.8, 0.6, 1.0, 0.4333333333333333, 0.6, 0.6, 1.0]"
62,292,2,0.5999999999999999,10,0.001,"[0.2, 0.6, 0.8, 0.26666666666666666, 1.0, 1.0, 0.8, 0.4666666666666667, 0.26666666666666666, 0.6]"
63,292,3,0.7366666666666666,10,0.001,"[0.0, 1.0, 0.7, 0.8666666666666668, 1.0, 1.0, 1.0, 1.0, 0.8, 0.0]"
64,292,4,0.6733333333333333,10,0.001,"[0.8, 0.8, 0.26666666666666666, 0.6, 0.8, 0.8, 0.4, 0.4666666666666667, 0.8, 1.0]"
65,292,5,0.7799999999999999,10,0.001,"[1.0, 1.0, 0.8, 0.7, 1.0, 1.0, 1.0, 0.6, 0.6, 0.1]"
66,292,6,0.6666666666666667,10,0.05,"[0.0, 1.0, 1.0, 0.4, 0.4666666666666667, 1.0, 1.0, 0.0, 1.0, 0.8]"
67,292,7,0.6,10,0.001,"[1.0, 0.8, 0.0, 0.8, 0.7, 0.4, 0.7, 0.6, 0.4, 0.6]"
68,292,8,0.5666666666666667,10,0.05,"[0.06666666666666667, 0.7, 0.8, 1.0, 0.8, 0.6, 0.8, 0.0, 0.6, 0.3]"
69,292,9,0.61,10,0.001,"[0.7, 0.6, 0.7, 0.8, 0.1, 1.0, 0.2, 0.4, 0.6, 1.0]"
70,309,0,0.7335185185185186,10,0.001,"[0.5925925925925927, 0.5555555555555556, 0.9259259259259258, 0.8518518518518519, 0.3888888888888889, 0.9444444444444444, 0.5833333333333334, 0.6777777777777777, 0.8148148148148148, 1.0]"
71,309,1,0.5869212962962963,10,0.001,"[0.9259259259259258, 0.7222222222222222, 0.4166666666666667, 0.6111111111111112, 0.5925925925925926, 0.16666666666666666, 0.25, 1.0, 0.7777777777777778, 0.40625]"
72,309,2,0.6119907407407408,10,0.001,"[0.4666666666666667, 0.7592592592592592, 0.5555555555555556, 0.8222222222222223, 0.24074074074074073, 0.6111111111111112, 0.7777777777777778, 0.4074074074074074, 0.6666666666666666, 0.8125]"
73,309,3,0.6092592592592593,10,0.001,"[0.48148148148148145, 0.9259259259259258, 0.5, 0.5, 0.3888888888888889, 0.25925925925925924, 0.5555555555555556, 0.7037037037037037, 0.7777777777777778, 1.0]"
74,309,4,0.5681481481481481,10,0.001,"[0.8888888888888888, 1.0, 0.4259259259259259, 0.2777777777777778, 0.8888888888888888, 0.8888888888888888, 0.3111111111111111, 0.3888888888888889, 0.2777777777777778, 0.3333333333333333]"
75,309,5,0.6098611111111112,10,0.001,"[0.5925925925925926, 0.4444444444444444, 0.8703703703703703, 0.4444444444444444, 0.7444444444444445, 0.5, 0.7592592592592592, 0.5555555555555556, 0.5, 0.6875]"
76,309,6,0.5454629629629629,10,0.001,"[0.6666666666666666, 0.2777777777777778, 0.8148148148148148, 0.16666666666666666, 0.8333333333333334, 0.6666666666666666, 0.48148148148148145, 0.14444444444444446, 0.9444444444444444, 0.4583333333333333]"
77,309,7,0.4741203703703703,10,0.001,"[0.2777777777777778, 0.25925925925925924, 0.3888888888888889, 0.6555555555555556, 0.3888888888888889, 0.8888888888888888, 0.2222222222222222, 0.4074074074074074, 0.8148148148148148, 0.4375]"
78,309,8,0.56875,10,0.001,"[0.7777777777777778, 0.4444444444444444, 0.5277777777777778, 0.5185185185185185, 0.9259259259259258, 0.5185185185185185, 0.4444444444444444, 0.537037037037037, 0.5555555555555556, 0.4375]"
79,309,9,0.5476388888888889,10,0.001,"[0.7222222222222222, 0.5555555555555556, 0.19444444444444445, 0.19444444444444445, 0.35555555555555557, 1.0, 0.5555555555555556, 0.26666666666666666, 0.9444444444444444, 0.6875]"
80,323,0,0.7131944444444445,10,0.001,"[0.6666666666666666, 0.3333333333333333, 0.9444444444444444, 1.0, 0.2222222222222222, 0.8888888888888888, 0.8888888888888888, 1.0, 0.9375, 0.25]"
81,323,1,0.8482638888888889,10,0.001,"[0.8888888888888888, 0.8888888888888888, 0.9444444444444444, 1.0, 0.9444444444444444, 0.9444444444444444, 0.8888888888888888, 0.8888888888888888, 0.9375, 0.15625]"
82,323,2,0.7349537037037036,10,0.001,"[0.8333333333333334, 0.9444444444444444, 0.2777777777777778, 0.9259259259259258, 1.0, 1.0, 0.5555555555555556, 0.0, 0.8125, 1.0]"
83,323,3,0.7460648148148148,10,0.001,"[0.4444444444444444, 0.4444444444444444, 0.25925925925925924, 1.0, 0.7777777777777778, 0.9444444444444444, 0.9444444444444444, 0.8333333333333334, 0.875, 0.9375]"
84,323,4,0.7481481481481482,10,0.001,"[1.0, 0.2222222222222222, 1.0, 1.0, 1.0, 0.8055555555555556, 0.2037037037037037, 0.5, 0.875, 0.875]"
85,323,5,0.8541666666666666,10,0.001,"[0.9444444444444444, 0.4444444444444444, 0.8888888888888888, 1.0, 1.0, 0.8888888888888888, 1.0, 1.0, 1.0, 0.375]"
86,323,6,0.8229166666666666,10,0.001,"[0.3333333333333333, 0.8888888888888888, 1.0, 0.8055555555555556, 1.0, 0.9444444444444444, 1.0, 0.9444444444444444, 1.0, 0.3125]"
87,323,7,0.7364814814814815,10,0.001,"[0.7777777777777778, 0.9444444444444444, 0.3703703703703704, 0.8888888888888888, 0.7777777777777778, 0.7777777777777778, 0.9444444444444444, 0.13333333333333333, 0.875, 0.875]"
88,323,8,0.923148148148148,10,0.001,"[1.0, 1.0, 0.8333333333333334, 0.9259259259259258, 1.0, 1.0, 0.7777777777777778, 0.9444444444444444, 0.875, 0.875]"
89,323,9,0.8101851851851851,10,0.001,"[1.0, 0.7777777777777778, 0.3333333333333333, 0.925925925925926, 1.0, 0.7037037037037037, 0.4444444444444444, 1.0, 0.9166666666666666, 1.0]"
90,340,0,0.7155555555555555,10,0.001,"[0.6, 1.0, 0.2222222222222222, 0.5555555555555556, 0.8888888888888888, 0.7777777777777778, 1.0, 0.1111111111111111, 1.0, 1.0]"
91,340,1,0.587037037037037,10,0.01,"[0.5, 0.4444444444444444, 0.2222222222222222, 0.5, 1.0, 0.2222222222222222, 0.9444444444444444, 0.5925925925925926, 0.4444444444444444, 1.0]"
92,340,2,0.7959259259259259,10,0.001,"[0.7, 1.0, 1.0, 0.7222222222222222, 0.8148148148148148, 0.7222222222222222, 0.8888888888888888, 1.0, 0.1111111111111111, 1.0]"
93,340,3,0.7888888888888889,10,0.001,"[1.0, 0.4444444444444444, 1.0, 0.9444444444444444, 0.8888888888888888, 0.9444444444444444, 0.4444444444444444, 1.0, 0.6666666666666666, 0.5555555555555556]"
94,340,4,0.7031481481481481,10,0.1,"[0.6333333333333333, 0.6666666666666666, 0.5925925925925926, 1.0, 0.5833333333333334, 0.5555555555555556, 1.0, 0.4444444444444444, 0.5555555555555556, 1.0]"
95,340,5,0.6892592592592593,10,0.01,"[0.8, 0.7777777777777778, 0.9444444444444444, 0.7037037037037037, 0.6666666666666666, 0.5, 0.05555555555555555, 0.6666666666666666, 1.0, 0.7777777777777778]"
96,340,6,0.7825925925925926,10,0.05,"[0.65, 0.8148148148148148, 0.7777777777777778, 1.0, 0.2222222222222222, 1.0, 0.8888888888888888, 1.0, 0.5833333333333334, 0.8888888888888888]"
97,340,7,0.7942592592592591,10,0.001,"[0.65, 1.0, 1.0, 0.7777777777777778, 0.5555555555555556, 0.8666666666666667, 0.9444444444444444, 0.2222222222222222, 1.0, 0.9259259259259258]"
98,340,8,0.6309259259259259,10,0.01,"[0.21666666666666665, 0.5555555555555556, 0.7777777777777778, 0.7037037037037037, 0.1111111111111111, 0.8333333333333334, 0.7777777777777778, 0.8888888888888888, 0.6666666666666666, 0.7777777777777778]"
99,340,9,0.725,10,0.001,"[1.0, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 1.0, 0.8888888888888888, 0.7777777777777778, 0.5555555555555556, 0.6944444444444444, 1.0]"
100,366,0,0.64,10,0.001,"[0.6, 0.6, 0.4, 0.4, 1.0, 1.0, 0.8, 0.2, 1.0, 0.4]"
101,366,1,0.7266666666666666,10,0.001,"[0.6, 0.4, 0.6, 1.0, 0.6, 0.8, 0.8666666666666666, 0.8, 0.6, 1.0]"
102,366,2,0.7833333333333334,10,0.1,"[0.6, 1.0, 1.0, 0.8, 0.6, 0.4666666666666667, 1.0, 0.6666666666666666, 0.7, 1.0]"
103,366,3,0.7466666666666667,10,0.001,"[0.8, 0.8, 0.6, 0.4666666666666666, 0.4, 1.0, 1.0, 0.8, 0.8, 0.8]"
104,366,4,0.6433333333333333,10,0.1,"[0.06666666666666667, 0.8, 0.7, 0.8, 0.6, 1.0, 0.6666666666666666, 0.4, 0.6, 0.8]"
105,366,5,0.7,10,0.001,"[1.0, 1.0, 1.0, 0.7, 0.9, 0.4, 0.6, 0.4, 0.6, 0.4]"
106,366,6,0.8066666666666666,10,0.001,"[0.6, 1.0, 0.8, 0.8666666666666666, 0.4, 1.0, 0.6, 1.0, 1.0, 0.8]"
107,366,7,0.7400000000000001,10,0.001,"[1.0, 0.8, 0.8, 1.0, 0.6, 0.6, 0.5, 1.0, 0.9, 0.2]"
108,366,8,0.6966666666666667,10,0.001,"[1.0, 0.8, 1.0, 0.4, 0.4666666666666667, 0.6, 0.4, 1.0, 0.6, 0.7]"
109,366,9,0.7266666666666668,10,0.001,"[1.0, 1.0, 0.6, 0.8, 1.0, 0.6, 0.6, 0.2, 0.4666666666666666, 1.0]"
110,371,0,0.5333333333333333,10,0.001,"[0.36363636363636365, 0.7727272727272727, 0.5, 0.36363636363636365, 0.45, 0.9, 0.23333333333333334, 0.45, 0.95, 0.35]"
